"date"
"05-Dec-2018 3:00:21 PM PST"
"21-Nov-2017 7:07:58 PM PST"
"16-May-2018 9:37:26 PM PDT"
"01-Sep-2018 12:37:23 PM PDT"
"29-Jun-2020 9:19:14 PM PDT"
"24-Sep-2020 11:35:34 AM PDT"
"28-Mar-2019 11:24:50 AM PDT"
"02-Jul-2018 10:52:44 PM PDT"
"20-Mar-2019 7:55:30 PM PDT"
"18-Feb-2019 11:15:21 AM PST"
"07-Sep-2018 3:00:49 PM PDT"
"03-Aug-2018 11:33:30 AM PDT"
"06-Mar-2019 11:32:30 PM PST"
"11-Nov-2019 1:03:38 PM PST"
"12-Mar-2019 10:50:17 PM PDT"
"29-Mar-2019 2:25:10 PM PDT"
"15-May-2018 9:06:44 AM PDT"
"26-Mar-2019 7:27:51 PM PDT"
"22-Nov-2017 10:11:25 PM PST"
"02-Dec-2018 4:27:28 PM PST"
"24-Jun-2020 3:08:51 PM PDT"
"19-Jan-2018 2:30:25 PM PST"
"27-Mar-2019 4:46:52 PM PDT"
"24-Jul-2019 1:14:50 PM PDT"
"16-May-2018 11:48:04 AM PDT"
"19-Sep-2018 5:25:34 PM PDT"
"03-Sep-2018 6:27:59 PM PDT"
"10-Mar-2018 11:41:27 AM PST"
"01-Feb-2020 9:41:11 AM PST"
"20-May-2020 6:45:52 AM PDT"
"19-Nov-2017 11:29:21 PM PST"
"04-Mar-2019 4:01:09 PM PST"
"12-Jun-2018 10:38:05 AM PDT"
"08-Apr-2018 1:44:21 PM PDT"
"28-Aug-2018 1:12:23 PM PDT"
"13-Jun-2020 3:50:36 PM PDT"
"11-Nov-2019 4:49:10 PM PST"
"01-Oct-2020 11:31:02 AM PDT"
"19-Dec-2017 3:22:21 PM PST"
"22-Nov-2017 9:33:39 PM PST"
"30-Aug-2018 7:12:03 PM PDT"
"10-Mar-2019 9:31:23 PM PDT"
"11-Feb-2018 10:22:16 PM PST"
"09-Apr-2018 12:27:40 PM PDT"
"08-Mar-2018 3:48:12 PM PST"
"18-Oct-2020 10:05:39 AM PDT"
"04-Oct-2018 2:57:57 PM PDT"
"29-Apr-2018 8:25:24 PM PDT"
"18-Jan-2018 7:02:47 PM PST"
"20-Jun-2018 6:14:11 PM PDT"
"20-Dec-2018 10:33:09 AM PST"
"04-May-2018 6:47:29 PM PDT"
"15-Aug-2018 4:50:08 PM PDT"
"01-Jul-2020 5:11:14 AM PDT"
"14-Sep-2020 4:28:31 PM PDT"
"29-Jul-2018 3:09:36 PM PDT"
"05-Dec-2017 1:06:49 PM PST"
"07-Feb-2018 6:59:30 PM PST"
"16-Sep-2020 1:27:05 PM PDT"
"28-Mar-2020 12:21:09 PM PDT"
"07-Dec-2019 9:17:34 AM PST"
"15-Dec-2019 12:12:39 PM PST"
"12-Nov-2017 9:31:16 AM PST"
"17-Feb-2019 7:03:09 PM PST"
"03-May-2020 11:49:00 AM PDT"
"05-Nov-2018 4:22:10 PM PST"
"24-Jul-2018 11:28:41 AM PDT"
"09-Oct-2020 12:51:34 PM PDT"
"20-Nov-2017 4:17:08 PM PST"
"19-Jul-2020 9:10:01 PM PDT"
"01-Nov-2018 5:44:41 PM PDT"
"16-Sep-2020 9:52:26 AM PDT"
"17-Mar-2019 6:08:31 PM PDT"
"31-Aug-2018 8:33:08 PM PDT"
"05-Apr-2018 11:16:37 PM PDT"
"11-Feb-2018 8:50:49 AM PST"
"20-Nov-2017 10:12:14 AM PST"
"11-Apr-2018 10:36:28 PM PDT"
"30-Nov-2018 7:58:25 PM PST"
"25-Mar-2019 7:18:48 PM PDT"
"23-Jan-2018 5:26:55 PM PST"
"14-Oct-2020 10:28:49 AM PDT"
"22-Mar-2019 8:18:16 PM PDT"
"21-Oct-2020 7:32:59 PM PDT"
"07-Jan-2018 8:01:24 PM PST"
"11-Sep-2018 3:24:01 PM PDT"
"29-Jul-2019 11:13:32 PM PDT"
"28-Mar-2020 12:15:18 PM PDT"
